정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
오동나무앞,126.9508479766,37.5931087765,"1",홍제3동,126.949743382569,37.5937821789907
인왕시장,126.9428865815,37.5911908536,"1",홍제3동,126.949743382569,37.5937821789907
오동나무,126.9507583137,37.5930266867,"1",홍제3동,126.949743382569,37.5937821789907
삼거리연탄.약수터입구,126.9532687848,37.5904735418,"1",홍제3동,126.949743382569,37.5937821789907
홍지문35통,126.9563600037,37.5967320724,"1",홍제3동,126.949743382569,37.5937821789907
옥천교앞,126.9542359392,37.5963407559,"1",홍제3동,126.949743382569,37.5937821789907
홍은초등학교,126.9502820509,37.5968483174,"1",홍제3동,126.949743382569,37.5937821789907
간호대입구올해피장애인복지센터,126.9490235104,37.5959625622,"1",홍제3동,126.949743382569,37.5937821789907
풍진베이스타운.안산자락길입구,126.9432865532,37.582330748,"1",홍제1동,126.944974009836,37.5877217807504
동신병원사거리,126.9356435453,37.5815326007,"1",홍은2동,126.934229091144,37.5801515443579
매일슈퍼,126.934752163,37.5808772976,"1",홍은2동,126.934229091144,37.5801515443579
홍제초등학교,126.9434183911,37.5921931643,"1",홍은1동,126.947108251211,37.5989166778989
동원베네스트아파트입구,126.9447633645,37.598246831,"1",홍은1동,126.947108251211,37.5989166778989
홍은유원아파트입구,126.9454302981,37.5973207474,"1",홍은1동,126.947108251211,37.5989166778989
벽산아파트후문,126.946005064,37.5963196848,"1",홍은1동,126.947108251211,37.5989166778989
홍은성당,126.946358616,37.5960336917,"1",홍은1동,126.947108251211,37.5989166778989
홍은사거리,126.9411862508,37.5920957672,"1",홍은1동,126.947108251211,37.5989166778989
반석블레스아파트,126.9410155003,37.5951691921,"1",홍은1동,126.947108251211,37.5989166778989
풍림1차아파트,126.942101442,37.5943593483,"1",홍은1동,126.947108251211,37.5989166778989
홍은유원아파트,126.9450497118,37.5969609571,"1",홍은1동,126.947108251211,37.5989166778989
인왕산현대아파트101동,126.9504156603,37.5861982613,"1",홍제2동,126.949395266731,37.5861524276881
홍제2동주민센터,126.9496818285,37.5861599266,"1",홍제2동,126.949395266731,37.5861524276881
정원슈퍼,126.9316917084,37.5864403556,"1",홍은2동,126.934229091144,37.5801515443579
소공원,126.9325221141,37.586335879,"1",홍은2동,126.934229091144,37.5801515443579
수성동계곡,126.9642468056,37.582079256,"1",청운효자동,126.97064969123,37.5841161738413
세검초등학교,126.9613773877,37.6042163468,"1",부암동,126.964061015983,37.5924142953596
인왕빌딩,126.9576747675,37.6078776053,"1",평창동,126.968357810931,37.6063916960432
청구빌라,126.9569707206,37.6046124743,"1",평창동,126.968357810931,37.6063916960432
서교빌라,126.9571666115,37.6020376855,"1",부암동,126.964061015983,37.5924142953596
부암슈퍼,126.9637118429,37.5947504113,"1",부암동,126.964061015983,37.5924142953596
세검정교회,126.959437574,37.5994997517,"1",부암동,126.964061015983,37.5924142953596
마트앞,126.9587519429,37.606703668,"1",평창동,126.968357810931,37.6063916960432
국민은행.세검정지점,126.9608711635,37.6049105807,"1",부암동,126.964061015983,37.5924142953596
